Emplyee name,Lay-off,Emplyee name,Due for promotion
Adalberto W Creek,1,Adelaide L Harrop,1
Adelaide L Harrop,1,Aiko Blossom,1
Alexis Q Grose,1,Alexis Q Grose,1
Allyn O Farrior,1,Aliza X Sammons,1
America V Lobel,1,America V Lobel,1
Amiee Z Chaffins,1,Amiee Z Chaffins,1
Andrew Detweiler,1,Andrew Detweiler,1
Asa E Kunze,1,Brendon E Mone,1
August C Navarette,1,Buck H Rancourt,1
Bell N Molinaro,1,Candelaria Zajicek,1
Bennie E Manfredi,1,Carlotta T Ryles,1
Benny S Brinker,1,Carmelia E Bergeron,1
Bernie M Kish,1,Carolin T Loya,1
Brendon E Mone,1,Carolynn V Moynihan,1
Bridget D Spadaro,1,Cecily D Houser,1
Buck H Rancourt,1,Celine Baskin,1
Cameron A Chamberland,1,Christie Rodger,1
Candelaria Q Zajicek,1,Clemente S Wiechmann,1
Candelaria Zajicek,1,Deanna P Scoggin,1
Carlotta T Ryles,1,Detra D Rymer,1
Carmelia E Bergeron,1,Devin Hales,1
Cedric N Cavallo,1,Dulce E Grizzard,1
Christene F Blakemore,1,Edmund Mcclung,1
Christie Rodger,1,Elsy B Latta,1
Cliff Skipworth,1,Fernando S Korhonen,1
Cole N Poling,1,Garnett Dryer,1
Deanna P Scoggin,1,Garrett S Nolette,1
Dee Joslyn,1,Inocencia Z Buteau,1
Detra D Rymer,1,Jamaal Z Resto,1
Devin Hales,1,Jamel Meaney,1
Digna Q Eck,1,Janie P Caswell,1
Doyle Utter,1,Jayson S Carrol,1
Dulce E Grizzard,1,Jeff E Lucero,1
Edmund Mcclung,1,Jeneva Y Bybee,1
Ela K Hames,1,Jerlene P Dunnigan,1
Eldridge B Bose,1,Jolanda Dewees,1
Elsy B Latta,1,Jon Arvizu,1
Elvis J Stroh,1,Jon Behler,1
Elvis Veiga,1,Jordan Phu,1
Fernando S Korhonen,1,Julius Q Stock,1
Gabriel E Pearsall,1,Kaye Tubbs,1
Garnett Dryer,1,Keira Y Till,1
Garrett Nolette,1,Ken X Weisberg,1
Garrett S Nolette,1,Kendrick C Burchette,1
Grisel R Whitty,1,Kenton Q Villalta,1
Harland S Renshaw,1,Kylie K Freda,1
Honey D Eaves,1,Larry K Mash,1
Hong M Townson,1,Laurena P Caston,1
Inocencia Z Buteau,1,Loren H Mckenzie,1
Jamaal Z Resto,1,Mack L Lykes,1
Jamel Meaney,1,Mauricio I Streets,1
Janie P Caswell,1,Maximina K Frates,1
Jayson S Carrol,1,Narcisa C Rayburn,1
Jenni Olguin,1,Nettie T Mccandless,1
Jocelyn Q Scotti,1,Patria D Riedel,1
Jody K Rude,1,Reinaldo G Castellanos,1
Jolanda Dewees,1,Renaldo K Cheatham,1
Jon Arvizu,1,Scott D Torrey,1
Jordan Phu,1,Sheryll X Broadbent,1
Julius Q Stock,1,Stephan Q Ranger,1
Kassie Q Binder,1,Stewart Mazurek,1
Katie N Kinnison,1,Susana H Hooks,1
Keila A Lucas,1,Taneka Q Church,1
Keira Y Till,1,Taylor Thill,1
Ken X Weisberg,1,Therese Q Belden,1
Kenton Q Villalta,1,Tiny Q Llanos,1
Kimberlee J Hawkins,1,Toney W Bollman,1
Kristopher Alejos,1,Toya B Rawlins,1
Lamar W Estill,1,Valene Z Woodmansee,1
Larisa Still,1,Vaughn Garica,1
Larry K Mash,1,Vernell X Amado,1
Latia Gleaton,1,Walton S Keim,1
Launa N Kohl,1,,
Laurena P Caston,1,,
Lenny U Rister,1,,
Loren H Mckenzie,1,,
Lorriane P Ho,1,,
Lyn Tso,1,,
Margrett M Confer,1,,
Maximina K Frates,1,,
Micaela N Buker,1,,
Narcisa C Rayburn,1,,
Nettie T Mccandless,1,,
Oren M Mcnabb,1,,
Oren Mcnabb,1,,
Orval Q Olinger,1,,
Patria D Riedel,1,,
Raymundo Pecora,1,,
Reinaldo G Castellanos,1,,
Reynaldo S Service,1,,
Sammy C Holtzclaw,1,,
Sarita P Schubert,1,,
Scott D Torrey,1,,
Shanti P Brinegar,1,,
Shavonne Henkle,1,,
Sherwood K Shire,1,,
Sol K Roger,1,,
Stephan Q Ranger,1,,
Stewart Mazurek,1,,
Susana H Hooks,1,,
Tamera Balser,1,,
Taneka Q Church,1,,
Taylor Thill,1,,
Therese Q Belden,1,,
Tiny Q Llanos,1,,
Toney O Gentle,1,,
Toney W Bollman,1,,
Toya B Rawlins,1,,
Valene Z Woodmansee,1,,
Vaughn Garica,1,,
Vernell X Amado,1,,
Vikki N Lezama,1,,
Violet L Ertel,1,,
Walton S Keim,1,,
Willia Vath,1,,
Windy A Dudek,1,,
Wm S Goldschmidt,1,,
